x-axis,1,2,3
second,Volt,Volt,Volt
-130.52000E-06,+869.14062500E-03,+3.41992187500E+00,-62.50000000E-03
-130.50000E-06,+874.02343750E-03,+3.39453125000E+00,-62.50000000E-03
-130.48000E-06,+872.07031250E-03,+3.39062500000E+00,-48.82812500E-03
-130.46000E-06,+872.07031250E-03,+3.37500000000E+00,-58.59375000E-03
-130.44000E-06,+867.18750000E-03,+3.31640625000E+00,-58.59375000E-03
-130.42000E-06,+873.04687500E-03,+3.25000000000E+00,-50.78125000E-03
-130.40000E-06,+872.07031250E-03,+3.25390625000E+00,-50.78125000E-03
-130.38000E-06,+876.95312500E-03,+3.26953125000E+00,-58.59375000E-03
-130.36000E-06,+874.02343750E-03,+3.28906250000E+00,-56.64062500E-03
-130.34000E-06,+873.04687500E-03,+3.27929687500E+00,-50.78125000E-03
-130.32000E-06,+867.18750000E-03,+3.30859375000E+00,-72.26562500E-03
-130.30000E-06,+875.00000000E-03,+3.37695312500E+00,-60.54687500E-03
-130.28000E-06,+874.02343750E-03,+3.41015625000E+00,-54.68750000E-03
-130.26000E-06,+875.00000000E-03,+3.38671875000E+00,-50.78125000E-03
-130.24000E-06,+875.97656250E-03,+3.34960937500E+00,-56.64062500E-03
-130.22000E-06,+870.11718750E-03,+3.36718750000E+00,-54.68750000E-03
-130.20000E-06,+875.00000000E-03,+3.40625000000E+00,-66.40625000E-03
-130.18000E-06,+878.90625000E-03,+3.42968750000E+00,-64.45312500E-03
-130.16000E-06,+880.85937500E-03,+3.42578125000E+00,-48.82812500E-03
-130.14000E-06,+876.95312500E-03,+3.38281250000E+00,-50.78125000E-03
-130.12000E-06,+880.85937500E-03,+3.33007812500E+00,-52.73437500E-03
-130.10000E-06,+875.00000000E-03,+3.33593750000E+00,-50.78125000E-03
-130.08000E-06,+871.09375000E-03,+3.35156250000E+00,-60.54687500E-03
-130.06000E-06,+875.00000000E-03,+3.39453125000E+00,-52.73437500E-03
-130.04000E-06,+875.00000000E-03,+3.42187500000E+00,-52.73437500E-03
-130.02000E-06,+875.00000000E-03,+3.39062500000E+00,-60.54687500E-03
-130.00000E-06,+880.85937500E-03,+3.31835937500E+00,-39.06250000E-03
-129.98000E-06,+878.90625000E-03,+3.28710937500E+00,-44.92187500E-03
-129.96000E-06,+878.90625000E-03,+3.30273437500E+00,-66.40625000E-03
-129.94000E-06,+882.81250000E-03,+3.32421875000E+00,-58.59375000E-03
-129.92000E-06,+880.85937500E-03,+3.35156250000E+00,-39.06250000E-03
-129.90000E-06,+876.95312500E-03,+3.37109375000E+00,-56.64062500E-03
-129.88000E-06,+883.78906250E-03,+3.39062500000E+00,-50.78125000E-03
-129.86000E-06,+878.90625000E-03,+3.39648437500E+00,-42.96875000E-03
-129.84000E-06,+878.90625000E-03,+3.33593750000E+00,-50.78125000E-03
-129.82000E-06,+876.95312500E-03,+3.22070312500E+00,-72.26562500E-03
-129.80000E-06,+882.81250000E-03,+3.18554687500E+00,-58.59375000E-03
-129.78000E-06,+876.95312500E-03,+3.22851562500E+00,-42.96875000E-03
-129.76000E-06,+880.85937500E-03,+3.29492187500E+00,-50.78125000E-03
-129.74000E-06,+884.76562500E-03,+3.34375000000E+00,-50.78125000E-03
-129.72000E-06,+883.78906250E-03,+3.39648437500E+00,-39.06250000E-03
-129.70000E-06,+876.95312500E-03,+3.38281250000E+00,-44.92187500E-03
-129.68000E-06,+878.90625000E-03,+3.28906250000E+00,-54.68750000E-03
-129.66000E-06,+885.74218750E-03,+3.24804687500E+00,-60.54687500E-03
-129.64000E-06,+877.92968750E-03,+3.30859375000E+00,-46.87500000E-03
-129.62000E-06,+883.78906250E-03,+3.36914062500E+00,-60.54687500E-03
-129.60000E-06,+882.81250000E-03,+3.39843750000E+00,-56.64062500E-03
-129.58000E-06,+884.76562500E-03,+3.41015625000E+00,-58.59375000E-03
-129.56000E-06,+882.81250000E-03,+3.33984375000E+00,-54.68750000E-03
-129.54000E-06,+883.78906250E-03,+3.24023437500E+00,-50.78125000E-03
-129.52000E-06,+879.88281250E-03,+3.22265625000E+00,-35.15625000E-03
-129.50000E-06,+882.81250000E-03,+3.27148437500E+00,-56.64062500E-03
-129.48000E-06,+881.83593750E-03,+3.29101562500E+00,-42.96875000E-03
-129.46000E-06,+879.88281250E-03,+3.29687500000E+00,-50.78125000E-03
-129.44000E-06,+883.78906250E-03,+3.32421875000E+00,-54.68750000E-03
-129.42000E-06,+880.85937500E-03,+3.35937500000E+00,-66.40625000E-03
-129.40000E-06,+881.83593750E-03,+3.35937500000E+00,-50.78125000E-03
-129.38000E-06,+879.88281250E-03,+3.32031250000E+00,-58.59375000E-03
-129.36000E-06,+884.76562500E-03,+3.28320312500E+00,-54.68750000E-03
-129.34000E-06,+882.81250000E-03,+3.29296875000E+00,-48.82812500E-03
-129.32000E-06,+883.78906250E-03,+3.30859375000E+00,-52.73437500E-03
-129.30000E-06,+884.76562500E-03,+3.32421875000E+00,-54.68750000E-03
-129.28000E-06,+883.78906250E-03,+3.35546875000E+00,-50.78125000E-03
-129.26000E-06,+884.76562500E-03,+3.36328125000E+00,-44.92187500E-03
-129.24000E-06,+886.71875000E-03,+3.32421875000E+00,-44.92187500E-03
-129.22000E-06,+882.81250000E-03,+3.25585937500E+00,-41.01562500E-03
-129.20000E-06,+885.74218750E-03,+3.22265625000E+00,-54.68750000E-03
-129.18000E-06,+886.71875000E-03,+3.26367187500E+00,-50.78125000E-03
-129.16000E-06,+887.69531250E-03,+3.29882812500E+00,-54.68750000E-03
-129.14000E-06,+888.67187500E-03,+3.26757812500E+00,-39.06250000E-03
-129.12000E-06,+890.62500000E-03,+3.17578125000E+00,-41.01562500E-03
-129.10000E-06,+889.64843750E-03,+3.09375000000E+00,-52.73437500E-03
-129.08000E-06,+885.74218750E-03,+3.08593750000E+00,-58.59375000E-03
-129.06000E-06,+893.55468750E-03,+3.12695312500E+00,-54.68750000E-03
-129.04000E-06,+882.81250000E-03,+3.17968750000E+00,-50.78125000E-03
-129.02000E-06,+879.88281250E-03,+3.24414062500E+00,-52.73437500E-03
-129.00000E-06,+887.69531250E-03,+3.31054687500E+00,-54.68750000E-03
-128.98000E-06,+890.62500000E-03,+3.34570312500E+00,-52.73437500E-03
-128.96000E-06,+889.64843750E-03,+3.33398437500E+00,-50.78125000E-03
-128.94000E-06,+885.74218750E-03,+3.26757812500E+00,-60.54687500E-03
-128.92000E-06,+884.76562500E-03,+3.21484375000E+00,-56.64062500E-03
-128.90000E-06,+892.57812500E-03,+3.22460937500E+00,-56.64062500E-03
-128.88000E-06,+889.64843750E-03,+3.27343750000E+00,-44.92187500E-03
-128.86000E-06,+888.67187500E-03,+3.28906250000E+00,-48.82812500E-03
-128.84000E-06,+888.67187500E-03,+3.30664062500E+00,-44.92187500E-03
-128.82000E-06,+890.62500000E-03,+3.31640625000E+00,-50.78125000E-03
-128.80000E-06,+894.53125000E-03,+3.32226562500E+00,-56.64062500E-03
-128.78000E-06,+893.55468750E-03,+3.27929687500E+00,-54.68750000E-03
-128.76000E-06,+888.67187500E-03,+3.26367187500E+00,-46.87500000E-03
-128.74000E-06,+890.62500000E-03,+3.27343750000E+00,-56.64062500E-03
-128.72000E-06,+887.69531250E-03,+3.27929687500E+00,-52.73437500E-03
-128.70000E-06,+891.60156250E-03,+3.25000000000E+00,-62.50000000E-03
-128.68000E-06,+894.53125000E-03,+3.23437500000E+00,-64.45312500E-03
-128.66000E-06,+892.57812500E-03,+3.23828125000E+00,-56.64062500E-03
-128.64000E-06,+891.60156250E-03,+3.22265625000E+00,-54.68750000E-03
-128.62000E-06,+895.50781250E-03,+3.19921875000E+00,-44.92187500E-03
-128.60000E-06,+894.53125000E-03,+3.21289062500E+00,-41.01562500E-03
-128.58000E-06,+894.53125000E-03,+3.25781250000E+00,-46.87500000E-03
-128.56000E-06,+891.60156250E-03,+3.25781250000E+00,-56.64062500E-03
-128.54000E-06,+892.57812500E-03,+3.19921875000E+00,-62.50000000E-03
-128.52000E-06,+896.48437500E-03,+3.15820312500E+00,-56.64062500E-03
-128.50000E-06,+896.48437500E-03,+3.15429687500E+00,-54.68750000E-03
-128.48000E-06,+889.64843750E-03,+3.21875000000E+00,-29.29687500E-03
-128.46000E-06,+897.46093750E-03,+3.20703125000E+00,-89.84375000E-03
-128.44000E-06,+890.62500000E-03,+3.28906250000E+00,-37.10937500E-03
-128.42000E-06,+897.46093750E-03,+3.31445312500E+00,-37.10937500E-03
-128.40000E-06,+893.55468750E-03,+3.24414062500E+00,-109.37500000E-03
-128.38000E-06,+893.55468750E-03,+3.25781250000E+00,+15.62499999E-03
-128.36000E-06,+896.48437500E-03,+3.27343750000E+00,-97.65624999E-03
-128.34000E-06,+898.43750000E-03,+3.27343750000E+00,-13.67187500E-03
-128.32000E-06,+896.48437500E-03,+3.28125000000E+00,-70.31250000E-03
-128.30000E-06,+897.46093750E-03,+3.27734375000E+00,-68.35937500E-03
-128.28000E-06,+904.29687500E-03,+3.25976562500E+00,-50.78125000E-03
-128.26000E-06,+901.36718750E-03,+3.18750000000E+00,-52.73437500E-03
-128.24000E-06,+895.50781250E-03,+3.15039062500E+00,-66.40625000E-03
-128.22000E-06,+898.43750000E-03,+3.16406250000E+00,-44.92187500E-03
-128.20000E-06,+896.48437500E-03,+3.21093750000E+00,-76.17187500E-03
-128.18000E-06,+900.39062500E-03,+3.21679687500E+00,-35.15625000E-03
-128.16000E-06,+896.48437500E-03,+3.22851562500E+00,-74.21875000E-03
-128.14000E-06,+896.48437500E-03,+3.24609375000E+00,-54.68750000E-03
-128.12000E-06,+897.46093750E-03,+3.24218750000E+00,-54.68750000E-03
-128.10000E-06,+894.53125000E-03,+3.21093750000E+00,-39.06250000E-03
-128.08000E-06,+902.34375000E-03,+3.16992187500E+00,-72.26562500E-03
-128.06000E-06,+902.34375000E-03,+3.17187500000E+00,-37.10937500E-03
-128.04000E-06,+901.36718750E-03,+3.20312500000E+00,-70.31250000E-03
-128.02000E-06,+899.41406250E-03,+3.23828125000E+00,-54.68750000E-03
-128.00000E-06,+902.34375000E-03,+3.27539062500E+00,-58.59375000E-03
-127.98000E-06,+905.27343750E-03,+3.24218750000E+00,-35.15625000E-03
-127.96000E-06,+894.53125000E-03,+3.09570312501E+00,-56.64062500E-03
-127.94000E-06,+900.39062500E-03,+3.03125000000E+00,-50.78125000E-03
-127.92000E-06,+900.39062500E-03,+3.08984375000E+00,-64.45312500E-03
-127.90000E-06,+903.32031250E-03,+3.17578124999E+00,-54.68750000E-03
-127.88000E-06,+902.34375000E-03,+3.23437500000E+00,-60.54687500E-03
-127.86000E-06,+900.39062500E-03,+3.23437500000E+00,-35.15625000E-03
-127.84000E-06,+897.46093750E-03,+3.15429687501E+00,-44.92187500E-03
-127.82000E-06,+898.43750000E-03,+3.01562500001E+00,-54.68750000E-03
-127.80000E-06,+904.29687500E-03,+2.94921875000E+00,-70.31250000E-03
-127.78000E-06,+899.41406250E-03,+3.02148437499E+00,-25.39062500E-03
-127.76000E-06,+896.48437500E-03,+3.12499999999E+00,-76.17187500E-03
-127.74000E-06,+904.29687500E-03,+3.18359375000E+00,-60.54687500E-03
-127.72000E-06,+904.29687500E-03,+3.23242187500E+00,-11.71875000E-03
-127.70000E-06,+902.34375000E-03,+3.24804687500E+00,-115.23437499E-03
-127.68000E-06,+906.25000000E-03,+3.22070312500E+00,-13.67187501E-03
-127.66000E-06,+904.29687500E-03,+3.22851562500E+00,-66.40625000E-03
-127.64000E-06,+902.34375000E-03,+3.17968750000E+00,-41.01562500E-03
-127.62000E-06,+902.34375000E-03,+3.12109375000E+00,-85.93750000E-03
-127.60000E-06,+896.48437500E-03,+3.20898437499E+00,-21.48437500E-03
-127.58000E-06,+909.17968750E-03,+3.21875000000E+00,-83.98437500E-03
-127.56000E-06,+904.29687500E-03,+3.18750000000E+00,-46.87500000E-03
-127.54000E-06,+903.32031250E-03,+3.22070312500E+00,-41.01562500E-03
-127.52000E-06,+900.39062500E-03,+3.23437500000E+00,-64.45312500E-03
-127.50000E-06,+901.36718750E-03,+3.15820312501E+00,-62.50000000E-03
-127.48000E-06,+898.43750000E-03,+3.12304687500E+00,-35.15625000E-03
-127.46000E-06,+898.43750000E-03,+3.17187500000E+00,-23.43750000E-03
-127.44000E-06,+902.34375000E-03,+3.17382812500E+00,-91.79687499E-03
-127.42000E-06,+897.46093750E-03,+3.15820312500E+00,-46.87500000E-03
-127.40000E-06,+902.34375000E-03,+3.13671875000E+00,-44.92187500E-03
-127.38000E-06,+902.34375000E-03,+3.09570312500E+00,-74.21875000E-03
-127.36000E-06,+900.39062500E-03,+3.02929687501E+00,-37.10937500E-03
-127.34000E-06,+901.36718750E-03,+3.03320312500E+00,-27.34375000E-03
-127.32000E-06,+903.32031250E-03,+3.12499999999E+00,-66.40625000E-03
-127.30000E-06,+906.25000000E-03,+3.16015625000E+00,-52.73437500E-03
-127.28000E-06,+910.15625000E-03,+3.16992187500E+00,-48.82812500E-03
-127.26000E-06,+907.22656250E-03,+3.18750000000E+00,-50.78125000E-03
-127.24000E-06,+907.22656250E-03,+3.14062500000E+00,-60.54687500E-03
-127.22000E-06,+908.20312500E-03,+3.07421875001E+00,-41.01562500E-03
-127.20000E-06,+903.32031250E-03,+3.06835937500E+00,-48.82812500E-03
-127.18000E-06,+906.25000000E-03,+3.07226562500E+00,-62.50000000E-03
-127.16000E-06,+902.34375000E-03,+3.10156250000E+00,-54.68750000E-03
-127.14000E-06,+904.29687500E-03,+3.14843750000E+00,-41.01562500E-03
-127.12000E-06,+898.43750000E-03,+3.16992187500E+00,-52.73437500E-03
-127.10000E-06,+907.22656250E-03,+3.17187500000E+00,-62.50000000E-03
-127.08000E-06,+910.15625000E-03,+3.16992187500E+00,-33.20312500E-03
-127.06000E-06,+906.25000000E-03,+3.12500000000E+00,-50.78125000E-03
-127.04000E-06,+904.29687500E-03,+3.04882812501E+00,-70.31250000E-03
-127.02000E-06,+910.15625000E-03,+2.95703125001E+00,-62.50000000E-03
-127.00000E-06,+905.27343750E-03,+3.04296874999E+00,-33.20312500E-03
-126.98000E-06,+905.27343750E-03,+3.15429687499E+00,-42.96875000E-03
-126.96000E-06,+910.15625000E-03,+3.10546875000E+00,-82.03125000E-03
-126.94000E-06,+905.27343750E-03,+3.08984375000E+00,+1.95312499E-03
-126.92000E-06,+908.20312500E-03,+3.08593750000E+00,-74.21874999E-03
-126.90000E-06,+908.20312500E-03,+2.99414062501E+00,-74.21875000E-03
-126.88000E-06,+911.13281250E-03,+2.99414062500E+00,-29.29687500E-03
-126.86000E-06,+903.32031250E-03,+3.10937499999E+00,-39.06250000E-03
-126.84000E-06,+912.10937500E-03,+3.14843750000E+00,-54.68750000E-03
-126.82000E-06,+910.15625000E-03,+3.10156250000E+00,-56.64062500E-03
-126.80000E-06,+906.25000000E-03,+3.10351562500E+00,-60.54687500E-03
-126.78000E-06,+910.15625000E-03,+3.10937500000E+00,-42.96875000E-03
-126.76000E-06,+911.13281250E-03,+3.06445312500E+00,-70.31250000E-03
-126.74000E-06,+910.15625000E-03,+3.04296875000E+00,-44.92187500E-03
-126.72000E-06,+911.13281250E-03,+3.12109374999E+00,-35.15625000E-03
-126.70000E-06,+913.08593750E-03,+3.14257812500E+00,-58.59375000E-03
-126.68000E-06,+914.06250000E-03,+3.03515625001E+00,-66.40625000E-03
